pid,date,cpu,mem
6350,17:09:09,0,0.2
6211,17:09:09,0,0.1
6438,17:09:09,0,0.1
582,17:09:09,0,0
6401,17:09:09,0.1,3.3
6273,17:09:09,21.3,0.9
6007,17:09:09,0,1
6181,17:09:09,0,0.8
249,17:09:10,0,4
395,17:09:10,1,1.1
141,17:09:10,12.4,1.2
6043,17:09:10,0.9,3.4
6020,17:09:10,0,1.6
6338,17:09:10,0,0.9
172,17:09:10,3.7,1.2
406,17:09:10,0.5,0.3
343,17:09:10,0,0.6
6126,17:09:10,0,4.1
6216,17:09:10,0,0.2
6002,17:09:10,1,3
6350,17:09:10,0,0.2
6211,17:09:10,0,0.1
6438,17:09:10,0,0.1
582,17:09:10,0,0
6401,17:09:10,0.1,3.2
6273,17:09:10,19,0.9
6007,17:09:10,0.6,1
6181,17:09:10,0,0.8
249,17:09:11,0.2,4
395,17:09:11,0.6,1.1
141,17:09:11,12.1,1.2
6043,17:09:11,0.6,3.4
6020,17:09:11,0,1.6
6338,17:09:11,0,0.9
172,17:09:11,0.3,1.2
406,17:09:11,0,0.3
343,17:09:11,0,0.6
6126,17:09:11,0,4.1
6216,17:09:11,0,0.2
6002,17:09:11,0.1,3
6350,17:09:11,0,0.2
6211,17:09:11,0,0.1
582,17:09:11,0,0
6401,17:09:11,0.3,3.2
6273,17:09:11,23,1.1
6007,17:09:11,0,1
6181,17:09:11,0,0.8
6026,17:09:11,0,0.4
249,17:09:12,24,4
395,17:09:12,0.9,1.1
141,17:09:12,9,1.2
6043,17:09:12,0.7,3.4
6020,17:09:12,0,1.6
6338,17:09:12,0,0.9
172,17:09:12,0,1.2
406,17:09:12,0,0.3
343,17:09:12,0,0.6
6126,17:09:12,0,4.1
6216,17:09:12,0,0.2
6002,17:09:12,0.1,3
6350,17:09:12,0,0.2
6211,17:09:12,0,0.1
582,17:09:12,0,0
6401,17:09:12,1.4,3.2
6273,17:09:12,13.7,0.9
6007,17:09:12,0,1
6181,17:09:12,0,0.8
6026,17:09:12,0,0.4
249,17:09:13,3.3,4
395,17:09:13,0.3,1.1
141,17:09:13,3.3,1.2
6043,17:09:13,0.4,3.4
6020,17:09:13,0,1.6
6338,17:09:13,0,0.9
172,17:09:13,0,1.2
406,17:09:13,0,0.3
