pid,time,cpu
6002,18:31:48,0.1
8945,18:31:48,0
6350,18:31:48,0
6211,18:31:48,0
582,18:31:48,0
8988,18:31:48,0.1
6007,18:31:48,0
8914,18:31:48,0
8987,18:31:48,0
141,18:31:49,12.9
249,18:31:49,0
9158,18:31:49,8.3
395,18:31:49,0
8978,18:31:49,6.8
6043,18:31:49,0.6
6020,18:31:49,0
6338,18:31:49,0
172,18:31:49,0
406,18:31:49,0
343,18:31:49,0
6002,18:31:49,0.1
8945,18:31:49,0
6350,18:31:49,0
6211,18:31:49,0
582,18:31:49,0
8988,18:31:49,0.1
6007,18:31:49,0
8914,18:31:49,0
8987,18:31:49,0
141,18:31:50,23.7
249,18:31:50,0
395,18:31:50,0.1
9158,18:31:50,3.8
8978,18:31:50,0.4
6043,18:31:50,0.5
6020,18:31:50,0
6338,18:31:50,0
172,18:31:50,0
406,18:31:50,0
343,18:31:50,0
6002,18:31:50,0.2
8945,18:31:50,0
6350,18:31:50,0
6211,18:31:50,0
582,18:31:50,0
8988,18:31:50,0.1
6007,18:31:50,0
8914,18:31:50,0
8987,18:31:50,0
141,18:31:51,3
249,18:31:51,0
395,18:31:51,0.3
9158,18:31:51,4.8
8978,18:31:51,0
6043,18:31:51,3
6020,18:31:51,0
6338,18:31:51,0
172,18:31:51,0
406,18:31:51,0
343,18:31:51,0
6002,18:31:51,0.1
8945,18:31:51,0
6350,18:31:51,0
6211,18:31:51,0
582,18:31:51,0
8988,18:31:51,0.1
6007,18:31:51,0
8914,18:31:51,0
8987,18:31:51,0
141,18:31:52,2.3
249,18:31:52,0
395,18:31:52,0
9158,18:31:52,3.5
8978,18:31:52,0
6043,18:31:52,1.2
6020,18:31:52,0
6338,18:31:52,0
172,18:31:52,0
406,18:31:52,0
343,18:31:52,0
6002,18:31:52,0
8945,18:31:52,0
6350,18:31:52,0
6211,18:31:52,0
582,18:31:52,0
8988,18:31:52,0.1
6007,18:31:52,0
8914,18:31:52,0
8987,18:31:52,0
141,18:31:53,2.4
249,18:31:53,0
395,18:31:53,0.3
9158,18:31:53,3
8978,18:31:53,0
6043,18:31:53,1.8
6020,18:31:53,0
6338,18:31:53,0
172,18:31:53,0
406,18:31:53,0
343,18:31:53,0
6002,18:31:53,0.1
8945,18:31:53,0
6350,18:31:53,0
6211,18:31:53,0
582,18:31:53,0
8988,18:31:53,0.1
6007,18:31:53,0
8914,18:31:53,0
8987,18:31:53,0
141,18:31:54,1.9
249,18:31:54,0
395,18:31:54,0
9158,18:31:54,3.1
8978,18:31:54,3.7
6043,18:31:54,0.5
6020,18:31:54,0
6338,18:31:54,0
172,18:31:54,0
406,18:31:54,0
343,18:31:54,0
6002,18:31:54,0.1
8945,18:31:54,0
6350,18:31:54,0
6211,18:31:54,0
582,18:31:54,0
8988,18:31:54,0.1
6007,18:31:54,0
8914,18:31:54,0
8987,18:31:54,0
141,18:31:55,2.2
249,18:31:55,0
395,18:31:55,0
9158,18:31:55,3.4
8978,18:31:55,0
6043,18:31:55,0.5
6020,18:31:55,0
6338,18:31:55,0
172,18:31:55,0
406,18:31:55,0
343,18:31:55,0
6002,18:31:55,0.6
8945,18:31:55,0
6350,18:31:55,0
6211,18:31:55,0
582,18:31:55,0
8988,18:31:55,0.2
6007,18:31:55,0
8914,18:31:55,0
8987,18:31:55,0
141,18:31:56,0.1
249,18:31:56,0
395,18:31:56,0
9158,18:31:56,0.1
8978,18:31:56,0
6043,18:31:56,0.4
6020,18:31:56,0
6338,18:31:56,0
172,18:31:56,0
406,18:31:56,0
343,18:31:56,0
6002,18:31:56,0
8945,18:31:56,0
6350,18:31:56,0
6211,18:31:56,0
582,18:31:56,0
8988,18:31:56,0.1
6007,18:31:56,0
8914,18:31:56,0
8987,18:31:56,0
141,18:31:58,0.1
249,18:31:58,0
395,18:31:58,0
9158,18:31:58,0
8978,18:31:58,0
6043,18:31:58,1
6020,18:31:58,0
6338,18:31:58,0
172,18:31:58,0
406,18:31:58,0
343,18:31:58,0
6002,18:31:58,0
8945,18:31:58,0
6350,18:31:58,0
6211,18:31:58,0
582,18:31:58,0
8988,18:31:58,0.1
6007,18:31:58,0
8914,18:31:58,0
8987,18:31:58,0
141,18:31:59,4.1
249,18:31:59,0
395,18:31:59,0.1
9158,18:31:59,0
8978,18:31:59,0
6043,18:31:59,7.7
6020,18:31:59,0
6338,18:31:59,0
172,18:31:59,0
406,18:31:59,0
343,18:31:59,0
6002,18:31:59,0.2
8945,18:31:59,0
6350,18:31:59,0
6211,18:31:59,0
582,18:31:59,0
8988,18:31:59,0.1
6007,18:31:59,0
8914,18:31:59,0
8987,18:31:59,0
141,18:32:00,5.3
249,18:32:00,0
395,18:32:00,0.6
9158,18:32:00,0
8978,18:32:00,2.2
6043,18:32:00,19.2
6020,18:32:00,0
6338,18:32:00,0
172,18:32:00,0
406,18:32:00,0.4
343,18:32:00,0
6002,18:32:00,0
8945,18:32:00,0
6350,18:32:00,0
6211,18:32:00,0
582,18:32:00,0
8988,18:32:00,0.1
6007,18:32:00,0
8914,18:32:00,0
8987,18:32:00,0
141,18:32:01,5.6
249,18:32:01,0
395,18:32:01,0
9158,18:32:01,0.3
8978,18:32:01,0
6043,18:32:01,21.2
6020,18:32:01,0
6338,18:32:01,0
172,18:32:01,0
406,18:32:01,0
343,18:32:01,0
6002,18:32:01,0.1
8945,18:32:01,0
6350,18:32:01,0
6211,18:32:01,0
582,18:32:01,0
8988,18:32:01,0.3
6007,18:32:01,0
8914,18:32:01,0
8987,18:32:01,0
141,18:32:02,2.1
249,18:32:02,0
395,18:32:02,0
9158,18:32:02,0
8978,18:32:02,0
6043,18:32:02,5.2
6020,18:32:02,0
6338,18:32:02,0
172,18:32:02,0
406,18:32:02,0
343,18:32:02,0
6002,18:32:02,0
8945,18:32:02,0
6350,18:32:02,0
6211,18:32:02,0
582,18:32:02,0
8988,18:32:02,0.1
6007,18:32:02,0
8914,18:32:02,0
8987,18:32:02,0
141,18:32:03,4.4
249,18:32:03,0
395,18:32:03,0.7
9158,18:32:03,0.3
8978,18:32:03,0
6043,18:32:03,34.6
6020,18:32:03,0
6338,18:32:03,0
172,18:32:03,0
406,18:32:03,0
343,18:32:03,0
6002,18:32:03,0
8945,18:32:03,0
6350,18:32:03,0
6211,18:32:03,0
582,18:32:03,0
8988,18:32:03,0.1
8914,18:32:03,0
6007,18:32:03,0
8987,18:32:03,0
141,18:32:04,3
249,18:32:04,12.6
395,18:32:04,0
9158,18:32:04,0
8978,18:32:04,0
6043,18:32:04,11.9
6020,18:32:04,0
6338,18:32:04,0
172,18:32:04,0
406,18:32:04,0
343,18:32:04,0
6002,18:32:04,0.1
8945,18:32:04,0
6350,18:32:04,0
6211,18:32:04,0
582,18:32:04,0
8988,18:32:04,0.1
8914,18:32:04,0
6007,18:32:04,0
8987,18:32:04,0
141,18:32:05,4.4
249,18:32:05,12.7
395,18:32:05,0.8
9158,18:32:05,0.3
8978,18:32:05,0.3
6043,18:32:05,8
6020,18:32:05,0
6338,18:32:05,0
172,18:32:05,0.1
406,18:32:05,0.2
343,18:32:05,0
6002,18:32:05,0.2
8945,18:32:05,0
6350,18:32:05,0
6211,18:32:05,0
582,18:32:05,0
8988,18:32:05,0.2
8914,18:32:05,0
6007,18:32:05,0
8987,18:32:05,0
141,18:32:06,3.3
249,18:32:06,3.2
395,18:32:06,0
9158,18:32:06,0
8978,18:32:06,0
6043,18:32:06,8.3
6020,18:32:06,0
6338,18:32:06,0
172,18:32:06,0
406,18:32:06,0
343,18:32:06,0
6002,18:32:06,0.2
8945,18:32:06,0
6350,18:32:06,0
6211,18:32:06,0
582,18:32:06,0
8988,18:32:06,0.2
8914,18:32:06,0
6007,18:32:06,0
8987,18:32:06,0
141,18:32:07,1.4
249,18:32:07,12.9
395,18:32:07,0.9
9158,18:32:07,0.1
8978,18:32:07,0
6043,18:32:07,2.5
6020,18:32:07,0
6338,18:32:07,0
172,18:32:07,0.2
406,18:32:07,0
343,18:32:07,0
6002,18:32:07,0
8945,18:32:07,0
6350,18:32:07,0
6211,18:32:07,0
582,18:32:07,0
8988,18:32:07,0.2
8914,18:32:07,0
6007,18:32:07,0
8987,18:32:07,0
141,18:32:08,1.8
249,18:32:08,14
395,18:32:08,2
9158,18:32:08,0
8978,18:32:08,0
6043,18:32:08,2.9
6020,18:32:08,0
6338,18:32:08,0
172,18:32:08,0.6
406,18:32:08,0
343,18:32:08,0
6002,18:32:08,0.1
8945,18:32:08,0
6350,18:32:08,0
6211,18:32:08,0
582,18:32:08,0
8988,18:32:08,0.1
8914,18:32:08,0
6007,18:32:08,0
8987,18:32:08,0
141,18:32:09,1.4
249,18:32:09,12.4
395,18:32:09,0.4
9158,18:32:09,0
8978,18:32:09,9.4
6043,18:32:09,4.8
6020,18:32:09,0
6338,18:32:09,0
172,18:32:09,0
406,18:32:09,0
343,18:32:09,0
6002,18:32:09,0
8945,18:32:09,0
6350,18:32:09,0
6211,18:32:09,0
582,18:32:09,0
8988,18:32:09,0.1
8914,18:32:09,0
6007,18:32:09,0
8987,18:32:09,0
141,18:32:10,2.1
249,18:32:10,1.4
395,18:32:10,0
9158,18:32:10,0.1
8978,18:32:10,0.1
6043,18:32:10,7.5
6020,18:32:10,0
6338,18:32:10,0
172,18:32:10,0.1
406,18:32:10,0.1
343,18:32:10,0
6002,18:32:10,0
8945,18:32:10,0
6350,18:32:10,0
6211,18:32:10,0
582,18:32:10,0
8988,18:32:10,0.1
8914,18:32:10,0
6007,18:32:10,0
8987,18:32:10,0
141,18:32:11,31.4
249,18:32:11,3
395,18:32:11,5.4
9158,18:32:11,29.8
8978,18:32:11,0
6043,18:32:11,14.6
6020,18:32:11,0
6338,18:32:11,0
172,18:32:11,0
406,18:32:11,0.1
343,18:32:11,0.1
6002,18:32:11,0.4
8945,18:32:11,0
6350,18:32:11,0
6211,18:32:11,0
582,18:32:11,0
8988,18:32:11,0.5
6007,18:32:11,0.6
8914,18:32:11,0
8987,18:32:11,0
141,18:32:12,10.1
249,18:32:12,17.1
395,18:32:12,2.6
9158,18:32:12,5.1
8978,18:32:12,0
6043,18:32:12,13.7
6020,18:32:12,0
6338,18:32:12,0
172,18:32:12,0.2
406,18:32:12,0
343,18:32:12,0
6002,18:32:12,0.2
8945,18:32:12,0
6350,18:32:12,0
6211,18:32:12,0
582,18:32:12,0
8988,18:32:12,0.2
8914,18:32:12,0
6007,18:32:12,0
8987,18:32:12,0
141,18:32:13,4.8
249,18:32:13,2.1
395,18:32:13,0.4
9158,18:32:13,2.9
8978,18:32:13,0
6043,18:32:13,8.1
6020,18:32:13,0
6338,18:32:13,0
172,18:32:13,0.7
406,18:32:13,0
343,18:32:13,0
6002,18:32:13,0.3
8945,18:32:13,0
6350,18:32:13,0
6211,18:32:13,0
582,18:32:13,0
8988,18:32:13,0.1
8914,18:32:13,0
6007,18:32:13,0
8987,18:32:13,0
141,18:32:14,3.3
249,18:32:14,11.8
395,18:32:14,0.4
9158,18:32:14,2.8
8978,18:32:14,75.1
6043,18:32:14,6.2
6020,18:32:14,0
6338,18:32:14,0
172,18:32:14,0
406,18:32:14,0
343,18:32:14,0
6002,18:32:14,0
8945,18:32:14,0
6350,18:32:14,0
6211,18:32:14,0
582,18:32:14,0
8988,18:32:14,0
8914,18:32:14,0
6007,18:32:14,0
8987,18:32:14,0
141,18:32:15,4.8
249,18:32:15,0.7
395,18:32:15,0.1
9158,18:32:15,3
8978,18:32:15,1.5
6043,18:32:15,15.3
6020,18:32:15,0
6338,18:32:15,0
172,18:32:15,0
406,18:32:15,0
343,18:32:15,0
6002,18:32:15,0.1
8945,18:32:15,0
6350,18:32:15,0
6211,18:32:15,0
582,18:32:15,0
8988,18:32:15,0.1
8914,18:32:15,0
6007,18:32:15,0
8987,18:32:15,0
141,18:32:16,2.7
249,18:32:16,0.6
395,18:32:16,0.1
9158,18:32:16,2.9
8978,18:32:16,0
6043,18:32:16,4.1
6020,18:32:16,0
6338,18:32:16,0
172,18:32:16,0
406,18:32:16,0
343,18:32:16,0
6002,18:32:16,0.2
8945,18:32:16,0
6350,18:32:16,0
6211,18:32:16,0
582,18:32:16,0
8988,18:32:16,0.1
8914,18:32:16,0
6007,18:32:16,0
8987,18:32:16,0
141,18:32:17,1.1
249,18:32:17,1.2
395,18:32:17,0
9158,18:32:17,0.1
8978,18:32:17,0
6043,18:32:17,7
6020,18:32:17,0
6338,18:32:17,0
172,18:32:17,0
406,18:32:17,0
343,18:32:17,0
6002,18:32:17,0
8945,18:32:17,0
6350,18:32:17,0
6211,18:32:17,0
582,18:32:17,0
8988,18:32:17,0.1
8914,18:32:17,0
6007,18:32:17,0
8987,18:32:17,0
141,18:32:18,4.8
249,18:32:18,28.9
395,18:32:18,1.4
9158,18:32:18,0
8978,18:32:18,0
6043,18:32:18,6.2
6020,18:32:18,0
6338,18:32:18,0
172,18:32:18,2.8
406,18:32:18,0
343,18:32:18,0
6002,18:32:18,0
8945,18:32:18,0
6350,18:32:18,0
6211,18:32:18,0
582,18:32:18,0
8988,18:32:18,0.1
